"site_id","mean_surf_jas_slope","distance","nearest_lake","distance_km"
"nhd_1098628",0.191801461911287,171612.824830744,"Lake Superior",171.612824830744
"nhd_1098714",0.191825753821814,169678.887145646,"Lake Superior",169.678887145646
"nhd_1098766",0.181498764339632,180578.39974214,"Lake Superior",180.57839974214
"nhd_1098778",0.230225977566899,171923.765066775,"Lake Superior",171.923765066775
"nhd_1098804",0.204494076945881,187654.04064141,"Lake Superior",187.65404064141
"nhd_1098836",0.207561093888526,174072.861986482,"Lake Superior",174.072861986482
"nhd_1098898",0.222219740612365,175612.610482805,"Lake Superior",175.612610482805
"nhd_1098900",0.20282633163329,189942.9851689,"Lake Superior",189.9429851689
"nhd_1098904",0.211962066081384,185138.740589255,"Lake Superior",185.138740589255
"nhd_1098928",0.1878281069083,186616.230193308,"Lake Superior",186.616230193308
"nhd_1098936",0.211723105814845,177908.676595311,"Lake Superior",177.908676595311
"nhd_1098942",0.221815040578119,176864.216665686,"Lake Superior",176.864216665686
"nhd_1098948",0.205746583797887,194934.412525196,"Lake Superior",194.934412525196
"nhd_1098950",0.205157323220861,189722.295906196,"Lake Superior",189.722295906196
"nhd_1098954",0.189204619127216,176399.027904817,"Lake Superior",176.399027904817
"nhd_1098968",0.216657107167411,178823.123495936,"Lake Superior",178.823123495936
"nhd_1098974",0.224967321199255,178329.848507469,"Lake Superior",178.329848507469
"nhd_1098990",0.243246370204683,189039.626650409,"Lake Superior",189.039626650409
"nhd_1098994",0.21794020869061,177388.123726403,"Lake Superior",177.388123726403
"nhd_1099018",0.208554936220975,190375.110854061,"Lake Superior",190.375110854061
"nhd_1099030",0.223231566645805,180830.020616709,"Lake Superior",180.830020616709
"nhd_1099038",0.204767741187275,181364.851346273,"Lake Superior",181.364851346273
"nhd_1099052",0.165835177890707,180048.790113882,"Lake Superior",180.048790113882
"nhd_1099068",0.177720129958433,179659.082765349,"Lake Superior",179.659082765349
"nhd_1099082",0.202318635584007,185542.694691816,"Lake Superior",185.542694691816
"nhd_1099102",0.208407567118006,180942.142222401,"Lake Superior",180.942142222401
"nhd_1099108",0.192137345550646,194498.688137411,"Lake Superior",194.498688137411
"nhd_1099120",0.198824255963059,195099.857826978,"Lake Superior",195.099857826978
"nhd_1099126",0.212147696514572,181857.297401324,"Lake Superior",181.857297401324
"nhd_1099136",0.169482642265759,196312.808372854,"Lake Superior",196.312808372854
"nhd_1099140",0.180336866029653,186743.819142543,"Lake Superior",186.743819142543
"nhd_1099156",0.161491369899823,184980.764758147,"Lake Superior",184.980764758147
"nhd_1099170",0.161145986871677,184063.297227317,"Lake Superior",184.063297227317
"nhd_1099172",0.17135896728902,196614.949308144,"Lake Superior",196.614949308144
"nhd_1099180",0.191103398240268,184320.03103818,"Lake Superior",184.32003103818
"nhd_1099206",0.172174935483966,198793.766087197,"Lake Superior",198.793766087197
"nhd_1099224",0.229387607074808,184909.805847215,"Lake Superior",184.909805847215
"nhd_1099232",0.222701117202053,196557.555060708,"Lake Superior",196.557555060708
"nhd_1099234",0.191735352586886,183997.234484672,"Lake Superior",183.997234484672
"nhd_1099240",0.186363949613214,189355.95930809,"Lake Superior",189.35595930809
